"population","pop2024","pop2023","city","country","growthRate","type","rank"
1333930,1333930,1303900,"Maoming","China",0.023,"w",422
1333100,1333100,1276320,"Lilongwe","Malawi",0.0445,"w",423
1329300,1329300,1324650,"Porto","Portugal",0.0035,"w",424
1327950,1327950,1323340,"Prague","Czech Republic",0.0035,"w",425
1324110,1324110,1291280,"Astana","Kazakhstan",0.0254,"w",426
1320780,1320780,1282480,"Jieyang","China",0.0299,"w",427
1317280,1317280,1304560,"Fushun Liaoning","China",0.0098,"w",428
1316460,1316460,1288240,"Mysore","India",0.0219,"w",429
1314920,1314920,1252890,"Abomey-Calavi","Benin",0.0495,"w",430
1314780,1314780,1281790,"Ruian","China",0.0257,"w",431
1313310,1313310,1290040,"Fes","Morocco",0.018,"w",432
1312630,1312630,1295930,"Port Elizabeth","South Africa",0.0129,"w",433
1309900,1309900,1294490,"Florianopolis","Brazil",0.0119,"w",434
1309370,1309370,1293620,"Ahvaz","Iran",0.0122,"w",435
1308470,1308470,1248780,"Bukavu","DR Congo",0.0478,"w",436
1302753,1302753,1302868,"Dallas","United States",-0.0001,"us",437
1300990,1300990,1239190,"Nnewi","Nigeria",0.0499,"w",438
1296230,1296230,1291880,"Kazan","Russia",0.0034,"w",439
1296060,1296060,1257940,"Jinhua","China",0.0303,"w",440
1292130,1292130,1273320,"San Luis Potosi","Mexico",0.0148,"w",441
1290230,1290230,1261080,"Baoji","China",0.0231,"w",442
1289670,1289670,1266030,"Durg-Bhilainagar","India",0.0187,"w",443
1289250,1289250,1257640,"Bhubaneswar","India",0.0251,"w",444
1287950,1287950,1247550,"Kigali","Rwanda",0.0324,"w",445
1287540,1287540,1288110,"Sofia","Bulgaria",-0.0004,"w",446
1285750,1285750,1256580,"Pingdingshan Henan","China",0.0232,"w",447
1284550,1284550,1270170,"Dublin","Ireland",0.0113,"w",448
1282760,1282760,1254160,"Puning","China",0.0228,"w",449
1279540,1279540,1252410,"Chifeng","China",0.0217,"w",450
1277240,1277240,1254520,"Zhuzhou","China",0.0181,"w",451
1277050,1277050,1206770,"Bujumbura","Burundi",0.0582,"w",452
1275400,1275400,1250670,"Zhenjiang Jiangsu","China",0.0198,"w",453
1272870,1272870,1230640,"Liupanshui","China",0.0343,"w",454
1267870,1267870,1254190,"Barquisimeto","Venezuela",0.0109,"w",455
1266790,1266790,1232450,"Islamabad","Pakistan",0.0279,"w",456
1264860,1264860,1236270,"Huaibei","China",0.0231,"w",457
1258120,1258120,1213780,"Tasikmalaya","Indonesia",0.0365,"w",458
1256550,1256550,1242940,"Maracay","Venezuela",0.0109,"w",459
1256160,1256160,1231440,"Bogor","Indonesia",0.0201,"w",460
1253230,1253230,1220630,"Da Nang","Vietnam",0.0267,"w",461
1250300,1250300,1224630,"Nanyang Henan","China",0.021,"w",462
1250300,1250300,1251330,"Nizhniy Novgorod","Russia",-0.0008,"w",463
1249380,1249380,1223910,"Xiangtan Hunan","China",0.0208,"w",464
1247180,1247180,1207280,"Pizhou","China",0.033,"w",465
1244980,1244980,1221960,"Tiruchirappalli","India",0.0188,"w",466
1243880,1243880,1240930,"Chelyabinsk","Russia",0.0024,"w",467
1242320,1242320,1226430,"Mendoza","Argentina",0.013,"w",468
1241150,1241150,1197940,"Luohe","China",0.0361,"w",469
1240160,1240160,1183040,"Xiongan","China",0.0483,"w",470
1239700,1239700,1214780,"Chandigarh","India",0.0205,"w",471
1239650,1239650,1220600,"Merida","Mexico",0.0156,"w",472
1238380,1238380,1215380,"Jinzhou","China",0.0189,"w",473
1237550,1237550,1216850,"Benxi","China",0.017,"w",474
1233580,1233580,1200220,"Binzhou","China",0.0278,"w",475
1230410,1230410,1188800,"Aba","Nigeria",0.035,"w",476
1228770,1228770,1213350,"Chiang Mai","Thailand",0.0127,"w",477
1225590,1225590,1175990,"Bazhong","China",0.0422,"w",478
1221500,1221500,1190350,"Quetta","Pakistan",0.0262,"w",479
1221450,1221450,1187400,"Kaduna","Nigeria",0.0287,"w",480
1218070,1218070,1196840,"Guilin","China",0.0177,"w",481
1207860,1207860,1171690,"Saharanpur","India",0.0309,"w",482
1205430,1205430,1181190,"Hubli-Dharwad","India",0.0205,"w",483
1201400,1201400,1169860,"Yueqing","China",0.027,"w",484
1199460,1199460,1176330,"Guwahati","India",0.0197,"w",485
1196980,1196980,1178480,"Mexicali","Mexico",0.0157,"w",486
1194760,1194760,1169950,"Salem","India",0.0212,"w",487
1193250,1193250,1162790,"Maputo","Mozambique",0.0262,"w",488
1192440,1192440,1183290,"Tripoli","Libya",0.0077,"w",489
1186480,1186480,1174430,"Haifa","Israel",0.0103,"w",490
1186230,1186230,1162240,"Bandar Lampung","Indonesia",0.0206,"w",491
1185050,1185050,1128650,"Bobo-Dioulasso","Burkina Faso",0.05,"w",492
1181820,1181820,1174020,"Amsterdam","Netherlands",0.0066,"w",493
1181020,1181020,1155070,"Shimkent","Kazakhstan",0.0225,"w",494
1180680,1180680,1180740,"Omsk","Russia",-0.0001,"w",495
1179300,1179300,1161450,"Aguascalientes","Mexico",0.0154,"w",496
1176620,1176620,1127200,"Hargeysa","Somalia",0.0438,"w",497
1173100,1173100,1166790,"Krasnoyarsk","Russia",0.0054,"w",498
1160840,1160840,1140600,"Xinxiang","China",0.0177,"w",499
1159370,1159370,1126250,"Siliguri","India",0.0294,"w",500
1159260,1159260,1131360,"Wenling","China",0.0247,"w",501
1154450,1154450,1155730,"Samara","Russia",-0.0011,"w",502
1150860,1150860,1133630,"Zaozhuang","China",0.0152,"w",503
1149010,1149010,1143720,"Cologne","Germany",0.0046,"w",504
1147970,1147970,1135670,"Yongin","South Korea",0.0108,"w",505
1146790,1146790,1144800,"Ufa","Russia",0.0017,"w",506
1146340,1146340,1120690,"Fuyang","China",0.0229,"w",507
1145220,1145220,1093310,"Ikorodu","Nigeria",0.0475,"w",508
1143000,1143000,1110820,"Bien Hoa","Vietnam",0.029,"w",509
1142680,1142680,1118830,"Jalandhar","India",0.0213,"w",510
1142540,1142540,1120680,"Panjin","China",0.0195,"w",511
1140260,1140260,1112680,"Ma'anshan","China",0.0248,"w",512
1140170,1140170,1123840,"Cuernavaca","Mexico",0.0145,"w",513
1139640,1139640,1138850,"Rostov-on-Don","Russia",0.0007,"w",514
1135340,1135340,1116300,"Chihuahua","Mexico",0.0171,"w",515
1131720,1131720,1100270,"Fuzhou Jiangxi","China",0.0286,"w",516
1131230,1131230,1077110,"Tshikapa","DR Congo",0.0502,"w",517
1130890,1130890,1106740,"Shangrao","China",0.0218,"w",518
1128180,1128180,1100320,"Samarinda","Indonesia",0.0253,"w",519
1127720,1127720,1104740,"Bishkek","Kyrgyzstan",0.0208,"w",520
1127600,1127600,1103200,"Zhaoqing","China",0.0221,"w",521
1123380,1123380,1116050,"San Salvador","El Salvador",0.0066,"w",522
1122040,1122040,1078630,"Yichun Jiangxi","China",0.0402,"w",523
1119790,1119790,1084970,"Chenzhou","China",0.0321,"w",524
1119530,1119530,1077930,"Sekondi Takoradi","Ghana",0.0386,"w",525
1116500,1116500,1087410,"Leshan","China",0.0268,"w",526
1116190,1116190,1079670,"Aden","Yemen",0.0338,"w",527
1114080,1114080,1105280,"Goyang","South Korea",0.008,"w",528
1113330,1113330,1096940,"Diyarbakir","Turkey",0.0149,"w",529
1111750,1111750,1072670,"Asmara","Eritrea",0.0364,"w",530
1108360,1108360,1080680,"Dezhou","China",0.0256,"w",531
1108070,1108070,1089890,"Jingzhou Hubei","China",0.0167,"w",532
1107120,1107120,1094510,"Managua","Nicaragua",0.0115,"w",533
1107000,1107000,1086210,"Johor Bahru","Malaysia",0.0191,"w",534
1101610,1101610,1084620,"Kermanshah","Iran",0.0157,"w",535
1101310,1101310,1056950,"Nyala","Sudan",0.042,"w",536
1100870,1100870,1085990,"Oslo","Norway",0.0137,"w",537
1100390,1100390,1074880,"Kirkuk","Iraq",0.0237,"w",538
1097540,1097540,1094810,"Yerevan","Armenia",0.0025,"w",539
1096460,1096460,1087600,"Cartagena","Colombia",0.0081,"w",540
1093690,1093690,1059900,"Changshu","China",0.0319,"w",541
1091810,1091810,1067650,"Huzhou","China",0.0226,"w",542
1091740,1091740,1063880,"Xuchang","China",0.0262,"w",543
1088130,1088130,1070320,"Solapur","India",0.0166,"w",544
1085200,1085200,1079120,"Lille","France",0.0056,"w",545
1084820,1084820,1069400,"Mersin","Turkey",0.0144,"w",546
1084470,1084470,1082240,"Tbilisi","Georgia",0.0021,"w",547
1084120,1084120,1081770,"Perm","Russia",0.0022,"w",548
1083720,1083720,1080810,"Voronezh","Russia",0.0027,"w",549
1075240,1075240,1053040,"Denpasar","Indonesia",0.0211,"w",550
1070750,1070750,1060460,"Toulouse","France",0.0097,"w",551
1070620,1070620,1030970,"Blantyre-Limbe","Malawi",0.0385,"w",552
1070120,1070120,1056990,"Aracaju","Brazil",0.0124,"w",553
1067170,1067170,1049690,"Marrakech","Morocco",0.0167,"w",554
1066900,1066900,1038960,"Qujing","China",0.0269,"w",555
1064170,1064170,1048890,"Yueyang","China",0.0146,"w",556
1063710,1063710,1030500,"Ilorin","Nigeria",0.0322,"w",557
1062570,1062570,1047250,"Tampico","Mexico",0.0146,"w",558
1061090,1061090,1057220,"Antwerp","Belgium",0.0037,"w",559
1059660,1059660,1050460,"Teresina","Brazil",0.0088,"w",560
1055920,1055920,1020400,"Guiping","China",0.0348,"w",561
1055600,1055600,1031090,"Warangal","India",0.0238,"w",562
1055370,1055370,1054440,"Changwon","South Korea",0.0009,"w",563
1052850,1052850,1033640,"Padang","Indonesia",0.0186,"w",564
1050320,1050320,1034130,"Saltillo","Mexico",0.0157,"w",565
1049490,1049490,1023760,"Xintai","China",0.0251,"w",566
1045000,1045000,1022600,"Cancun","Mexico",0.0219,"w",567
1042610,1042610,1024940,"Cebu City","Philippines",0.0172,"w",568
1039230,1039230,1026770,"San Miguel de Tucuman","Argentina",0.0121,"w",569
1034500,1034500,995747,"Hamah","Syria",0.0389,"w",570
1032770,1032770,1018980,"Acapulco de Juarez","Mexico",0.0135,"w",571
1031420,1031420,986921,"Warri","Nigeria",0.0451,"w",572
1025510,1025510,1013240,"Kayseri","Turkey",0.0121,"w",573
1024520,1024520,993097,"Chengde","China",0.0316,"w",574
1022920,1022920,983352,"Owerri","Nigeria",0.0402,"w",575
1021920,1021920,1018010,"Rotterdam","Netherlands",0.0038,"w",576
1021580,1021580,999721,"Pingxiang Jiangxi","China",0.0219,"w",577
1019600,1019600,991208,"Zhucheng","China",0.0286,"w",578
1017780,1017780,1005010,"Songkhla","Thailand",0.0127,"w",579
1016580,1016580,1008600,"Valparaiso","Chile",0.0079,"w",580
1016400,1016400,991876,"Dehradun","India",0.0247,"w",581
1013670,1013670,1000950,"Nonthaburi","Thailand",0.0127,"w",582
1013190,1013190,978327,"Leiyang","China",0.0356,"w",583
1012790,1012790,986899,"Dushanbe","Tajikistan",0.0262,"w",584
1012580,1012580,969322,"Nampula","Mozambique",0.0446,"w",585
1011120,1011120,984193,"Misratah","Libya",0.0274,"w",586
1010550,1010550,1001160,"Krasnodar","Russia",0.0094,"w",587
1009730,1009730,986248,"Laiwu","China",0.0238,"w",588
1009590,1009590,1000480,"Bordeaux","France",0.0091,"w",589
1008990,1008990,993175,"Jixi Heilongjiang","China",0.0159,"w",590
1008220,1008220,982021,"San Pedro Sula","Honduras",0.0267,"w",591
1007600,1007600,1007720,"Odesa","Ukraine",-0.0001,"w",592
1004250,1004250,982777,"Jiujiang","China",0.0218,"w",593
1003020,1003020,958548,"Lubango","Angola",0.0464,"w",594
1002460,1002460,988744,"Morelia","Mexico",0.0139,"w",595
1001160,1001160,970129,"Jos","Nigeria",0.032,"w",596
999374,999374,964291,"Sylhet","Bangladesh",0.0364,"w",597
998146,998146,979248,"Agadir","Morocco",0.0193,"w",598
997164,997164,985843,"Jacksonville","United States",0.0115,"us",599
996756,996756,978468,"Fort Worth","United States",0.0187,"us",600
993352,993352,995078,"Volgograd","Russia",-0.0017,"w",601
992414,992414,975348,"Mudanjiang","China",0.0175,"w",602
990310,990310,967428,"Guigang","China",0.0237,"w",603
987814,987814,958487,"Najaf","Iraq",0.0306,"w",604
985965,985965,958335,"Bangui","Central African Republic",0.0288,"w",605
984567,984567,979882,"Austin","United States",0.0048,"us",606
983707,983707,961991,"Rajshahi","Bangladesh",0.0226,"w",607
983694,983694,955663,"Hengshui","China",0.0293,"w",608
983097,983097,969804,"Jerusalem","Israel",0.0137,"w",609
980054,980054,955519,"Zhangzhou","China",0.0257,"w",610
979303,979303,952278,"Xinyu","China",0.0284,"w",611
978614,978614,951822,"Linfen","China",0.0281,"w",612
978317,978317,953768,"Tianmen","China",0.0257,"w",613
978202,978202,964266,"Ciudad Guayana","Venezuela",0.0145,"w",614
977081,977081,960349,"Zamboanga City","Philippines",0.0174,"w",615
976606,976606,956079,"Yangjiang","China",0.0215,"w",616
974518,974518,940600,"Taiz","Yemen",0.0361,"w",617
972485,972485,963045,"Cucuta","Colombia",0.0098,"w",618
971296,971296,958998,"Arequipa","Peru",0.0128,"w",619
970907,970907,936997,"Liling","China",0.0362,"w",620
968288,968288,946653,"Antipolo","Philippines",0.0229,"w",621
968070,968070,955226,"Veracruz","Mexico",0.0134,"w",622
967627,967627,951417,"Reynosa","Mexico",0.017,"w",623
965483,965483,955104,"Khulna","Bangladesh",0.0109,"w",624
963160,963160,939166,"Deyang","China",0.0255,"w",625
962126,962126,950048,"Pathum Thani","Thailand",0.0127,"w",626
959784,959784,944465,"Bengbu","China",0.0162,"w",627
959250,959250,933395,"Jiangyin","China",0.0277,"w",628
959202,959202,951531,"Southampton","United Kingdom",0.0081,"w",629
958118,958118,943530,"Villahermosa","Mexico",0.0155,"w",630
956976,956976,927532,"Baishan","China",0.0317,"w",631
956433,956433,969655,"San Jose","United States",-0.0136,"us",632
951808,951808,948149,"Nice","France",0.0039,"w",633
950768,950768,935947,"Oran","Algeria",0.0158,"w",634
947734,947734,934341,"West Rand","South Africa",0.0143,"w",635
947634,947634,904676,"Cabinda","Angola",0.0475,"w",636
947460,947460,904139,"Umuahia","Nigeria",0.0479,"w",637
944877,944877,905814,"Bogra","Bangladesh",0.0431,"w",638
944812,944812,919654,"Bahawalpur","Pakistan",0.0274,"w",639
942159,942159,941508,"Seongnam","South Korea",0.0007,"w",640
940205,940205,918324,"Guntur","India",0.0238,"w",641
936766,936766,941586,"Dnipro","Ukraine",-0.0051,"w",642
934936,934936,926095,"Campo Grande","Brazil",0.0095,"w",643
933392,933392,919443,"Malang","Indonesia",0.0152,"w",644
932892,932892,922425,"Londrina","Brazil",0.0113,"w",645
932648,932648,917936,"Dandong","China",0.016,"w",646
930620,930620,910743,"Changzhi","China",0.0218,"w",647
929961,929961,915060,"Hermosillo","Mexico",0.0163,"w",648
924670,924670,906581,"Bhiwandi","India",0.02,"w",649
923715,923715,914036,"La Plata","Argentina",0.0106,"w",650
923164,923164,911311,"Charlotte","United States",0.013,"us",651
922871,922871,917032,"Liverpool","United Kingdom",0.0064,"w",652
921601,921601,902353,"Ashgabat","Turkmenistan",0.0213,"w",653
920916,920916,911862,"Concepcion","Chile",0.0099,"w",654
919280,919280,897983,"Puducherry","India",0.0237,"w",655
919026,919026,898338,"Changde","China",0.023,"w",656
918675,918675,913376,"Bergamo","Italy",0.0058,"w",657
918218,918218,894388,"Firozabad","India",0.0266,"w",658
917639,917639,896716,"Erbil","Iraq",0.0233,"w",659
916862,916862,903815,"Tyumen","Russia",0.0144,"w",660
916632,916632,903896,"Trujillo","Peru",0.0141,"w",661
916238,916238,900692,"Liaoyang","China",0.0173,"w",662
915823,915823,895111,"Shangqiu","China",0.0231,"w",663
915427,915427,913175,"Columbus","United States",0.0025,"us",664
914300,914300,912734,"Ulsan","South Korea",0.0017,"w",665
913075,913075,897694,"Tuxtla Gutierrez","Mexico",0.0171,"w",666
906765,906765,875496,"Kuerle","China",0.0357,"w",667
905868,905868,892254,"Soshanguve","South Africa",0.0153,"w",668
904070,904070,886381,"Xingtai","China",0.02,"w",669
903910,903910,888620,"Culiacan","Mexico",0.0172,"w",670
902621,902621,871457,"Quzhou","China",0.0358,"w",671
901820,901820,870465,"Cherthala","India",0.036,"w",672
893107,893107,876930,"Huangshi","China",0.0184,"w",673
889767,889767,876131,"Fuxin","China",0.0156,"w",674
885882,885882,839046,"Lokoja","Nigeria",0.0558,"w",675
884753,884753,872438,"Hufuf-Mubarraz","Saudi Arabia",0.0141,"w",676
883920,883920,869773,"Libreville","Gabon",0.0163,"w",677
883326,883326,860522,"Yongzhou","China",0.0265,"w",678
882986,882986,861978,"Xinghua","China",0.0244,"w",679
882209,882209,887716,"Donetsk","Ukraine",-0.0062,"w",680
881480,881480,864910,"Yibin","China",0.0192,"w",681
876665,876665,879293,"Indianapolis","United States",-0.003,"us",682
875552,875552,846560,"Enugu","Nigeria",0.0342,"w",683
875392,875392,869625,"Tainan","Taiwan",0.0066,"w",684
873268,873268,855191,"Xinyang","China",0.0211,"w",685
872424,872424,857225,"Ipoh","Malaysia",0.0177,"w",686
870714,870714,857683,"Luzhou","China",0.0152,"w",687
870502,870502,859209,"Banghazi","Libya",0.0131,"w",688
870201,870201,844747,"Maiduguri","Nigeria",0.0301,"w",689
869585,869585,851630,"Yangquan","China",0.0211,"w",690
869575,869575,843754,"Huaihua","China",0.0306,"w",691
869479,869479,849580,"Xiaogan","China",0.0234,"w",692
858672,858672,837479,"Tianshui","China",0.0253,"w",693
856339,856339,812090,"Bunia","DR Congo",0.0545,"w",694
854946,854946,830125,"Bozhou","China",0.0299,"w",695
853635,853635,818628,"Kottayam","India",0.0428,"w",696
852608,852608,834782,"Zhuji","China",0.0214,"w",697
851399,851399,826414,"Kunshan","China",0.0302,"w",698
851061,851061,844249,"Quebec City","Canada",0.0081,"w",699
850233,850233,849687,"Palermo","Italy",0.0006,"w",700
849251,849251,841108,"Winnipeg","Canada",0.0097,"w",701
848443,848443,835900,"Orumiyeh","Iran",0.015,"w",702
848002,848002,834065,"Eskisehir","Turkey",0.0167,"w",703
843207,843207,809468,"Benguela","Angola",0.0417,"w",704
841928,841928,818057,"Jincheng","China",0.0292,"w",705
839770,839770,838301,"Valencia","Spain",0.0018,"w",706
838928,838928,826777,"Heze","China",0.0147,"w",707
837687,837687,838377,"Saratov","Russia",-0.0008,"w",708
837660,837660,816293,"Nellore","India",0.0262,"w",709
836344,836344,821132,"Huludao","China",0.0185,"w",710
835850,835850,800010,"Zanzibar","Tanzania",0.0448,"w",711
835805,835805,825581,"Barcelona Puerto La Cruz","Venezuela",0.0124,"w",712
835802,835802,818566,"Bikaner","India",0.0211,"w",713
834639,834639,821192,"Haicheng","China",0.0164,"w",714
831360,831360,813394,"Gebze","Turkey",0.0221,"w",715
830623,830623,811451,"Taixing","China",0.0236,"w",716
830004,830004,813369,"Liaocheng","China",0.0205,"w",717
829361,829361,804537,"Zhumadian","China",0.0309,"w",718
828712,828712,823431,"Newcastle upon Tyne","United Kingdom",0.0064,"w",719
827967,827967,807833,"Langfang","China",0.0249,"w",720
826919,826919,826981,"Bucheon","South Korea",-0.0001,"w",721
823199,823199,800793,"Sulaimaniya","Iraq",0.028,"w",722
822863,822863,811041,"Xalapa","Mexico",0.0146,"w",723
822471,822471,783243,"Malanje","Angola",0.0501,"w",724
821765,821765,791931,"Anqiu","China",0.0377,"w",725
821435,821435,813320,"Sorocaba","Brazil",0.01,"w",726
821154,821154,797964,"Gaomi","China",0.0291,"w",727
820886,820886,802600,"Dasmarinas","Philippines",0.0228,"w",728
820297,820297,803194,"Cagayan de Oro City","Philippines",0.0213,"w",729
818761,818761,795835,"Hanchuan","China",0.0288,"w",730
818037,818037,796756,"Meishan","China",0.0267,"w",731
816848,816848,814332,"Bologna","Italy",0.0031,"w",732
815869,815869,798382,"Ar-Rayyan","Qatar",0.0219,"w",733
814980,814980,814524,"Thessaloniki","Greece",0.0006,"w",734
814491,814491,791214,"Muzaffarnagar","India",0.0294,"w",735
813379,813379,786192,"Kayamkulam","India",0.0346,"w",736
813078,813078,806757,"Nottingham","United Kingdom",0.0078,"w",737
811446,811446,801853,"Nakhon Ratchasima","Thailand",0.012,"w",738
810450,810450,789755,"Danyang","China",0.0262,"w",739
810149,810149,771514,"Ibb","Yemen",0.0501,"w",740
808263,808263,792620,"Amravati","India",0.0197,"w",741
808079,808079,796509,"Jiaozuo","China",0.0145,"w",742
802900,802900,793927,"Vereeniging","South Africa",0.0113,"w",743
801634,801634,788276,"Gorakhpur","India",0.0169,"w",744
800636,800636,778187,"Gaza","Palestine",0.0288,"w",745
800529,800529,796437,"Frankfurt","Germany",0.0051,"w",746
795987,795987,779535,"Anqing","China",0.0211,"w",747
795916,795916,797865,"Niigata","Japan",-0.0024,"w",748
795808,795808,771515,"Oshogbo","Nigeria",0.0315,"w",749
795777,795777,776076,"Linhai","China",0.0254,"w",750
794279,794279,784230,"Shaoguan","China",0.0128,"w",751
794143,794143,774321,"Erduosi-Ordoss","China",0.0256,"w",752
793545,793545,760129,"Merca","Somalia",0.044,"w",753
792925,792925,778280,"Bur Sa'id","Egypt",0.0188,"w",754
792350,792350,762981,"Kitwe","Zambia",0.0385,"w",755
791839,791839,767188,"Yan'an","China",0.0321,"w",756
789558,789558,775559,"Cuttack","India",0.0181,"w",757
788478,788478,808988,"San Francisco","United States",-0.0253,"us",758
786843,786843,781047,"Hamilton","Canada",0.0074,"w",759
786197,786197,766007,"Zaria","Nigeria",0.0264,"w",760
785125,785125,770959,"Banjarmasin","Indonesia",0.0184,"w",761
783041,783041,759150,"Dengzhou","China",0.0315,"w",762
783020,783020,767161,"Belgaum","India",0.0207,"w",763
781925,781925,764628,"Malegaon","India",0.0226,"w",764
781875,781875,744247,"Goma","DR Congo",0.0506,"w",765
779684,779684,768075,"Zigong","China",0.0151,"w",766
778628,778628,766782,"Qingyuan","China",0.0154,"w",767
777193,777193,754711,"Yuncheng","China",0.0298,"w",768
776404,776404,761169,"Shaoyang","China",0.02,"w",769
775672,775672,757224,"Yanji","China",0.0244,"w",770
775455,775455,752744,"Tirupati","India",0.0302,"w",771
775097,775097,758185,"Maturin","Venezuela",0.0223,"w",772
774356,774356,750102,"Yuxi","China",0.0323,"w",773
773141,773141,744371,"Akure","Nigeria",0.0387,"w",774
772756,772756,756158,"Tongliao","China",0.022,"w",775
770962,770962,753325,"Sialkot","Pakistan",0.0234,"w",776
770032,770032,752916,"Tongling","China",0.0227,"w",777
769396,769396,769417,"Krakow","Poland",0,"w",778
768822,768822,766703,"Ansan","South Korea",0.0028,"w",779
768512,768512,751679,"Wuzhou","China",0.0224,"w",780
767532,767532,748257,"Dazhou","China",0.0258,"w",781
765887,765887,750097,"Suining Sichuan","China",0.0211,"w",782
763312,763312,749073,"Mangalore","India",0.019,"w",783
761903,761903,749763,"Jiamusi","China",0.0162,"w",784
759915,759915,755078,"Seattle","United States",0.0064,"us",785
759157,759157,734699,"Al-Hudaydah","Yemen",0.0333,"w",786
757915,757915,741818,"Sargodha","Pakistan",0.0217,"w",787
757823,757823,722836,"Nay Pyi Taw","Myanmar",0.0484,"w",788
757506,757506,729768,"Tamale","Ghana",0.038,"w",789
757137,757137,749188,"Sao Jose dos Campos","Brazil",0.0106,"w",790
757035,757035,739682,"Bacoor","Philippines",0.0235,"w",791
756344,756344,738200,"Dongtai","China",0.0246,"w",792
755752,755752,733810,"Zhangjiagang","China",0.0299,"w",793
755577,755577,738552,"Nanded Waghala","India",0.0231,"w",794
754446,754446,743491,"Xianyang Shaanxi","China",0.0147,"w",795
753708,753708,729276,"Amara","Iraq",0.0335,"w",796
753392,753392,748428,"Zarqa","Jordan",0.0066,"w",797
751493,751493,737128,"Bhavnagar","India",0.0195,"w",798
751303,751303,745876,"Sheffield","United Kingdom",0.0073,"w",799
751297,751297,727641,"Huambo","Angola",0.0325,"w",800
750174,750174,742115,"Ribeirao Preto","Brazil",0.0109,"w",801
750036,750036,738495,"Panzhihua","China",0.0156,"w",802
